fips,state_name,latitude,longitude
01,Alabama,32.7794,-86.8287
02,Alaska,64.0685,-152.2782
04,Arizona,34.2744,-111.6602
05,Arkansas,34.8938,-92.4426
06,California,37.1841,-119.4696
08,Colorado,38.9972,-105.5478
09,Connecticut,41.6219,-72.7273
10,Delaware,38.9896,-75.5050
11,District of Columbia,38.9072,-77.0369
12,Florida,28.6305,-82.4497
13,Georgia,32.6415,-83.4426
15,Hawaii,20.2927,-156.3737
16,Idaho,44.3509,-114.6130
17,Illinois,40.0417,-89.1965
18,Indiana,39.8942,-86.2816
19,Iowa,42.0751,-93.4960
20,Kansas,38.4937,-98.3804
21,Kentucky,37.5347,-85.3021
22,Louisiana,31.0689,-91.9968
23,Maine,45.3695,-69.2428
24,Maryland,39.0550,-76.7909
25,Massachusetts,42.2596,-71.8083
26,Michigan,44.3467,-85.4102
27,Minnesota,46.2807,-94.3053
28,Mississippi,32.7364,-89.6678
29,Missouri,38.3566,-92.4580
30,Montana,47.0527,-109.6333
31,Nebraska,41.5378,-99.7951
32,Nevada,39.3289,-116.6312
33,New Hampshire,43.6805,-71.5811
34,New Jersey,40.1907,-74.6728
35,New Mexico,34.4071,-106.1126
36,New York,42.9538,-75.5268
37,North Carolina,35.5557,-79.3877
38,North Dakota,47.4501,-100.4659
39,Ohio,40.2862,-82.7937
40,Oklahoma,35.5889,-97.4943
41,Oregon,43.9336,-120.5583
42,Pennsylvania,40.8781,-77.7996
44,Rhode Island,41.6762,-71.5562
45,South Carolina,33.9169,-80.8964
46,South Dakota,44.4443,-100.2263
47,Tennessee,35.8580,-86.3505
48,Texas,31.4757,-99.3312
49,Utah,39.3055,-111.6703
50,Vermont,44.0687,-72.6658
51,Virginia,37.5215,-78.8537
53,Washington,47.3826,-120.4472
54,West Virginia,38.6409,-80.6227
55,Wisconsin,44.6243,-89.9941
56,Wyoming,42.9957,-107.5512
72,Puerto Rico,18.2208,-66.5901
US,United States,39.8283,-98.5795
